"st_fips","state","estimate","moe","year","child_age","child_parent"
1,"Alabama",94414,5490,2011,"00-02","Married Couple"
1,"Alabama",68979,3496,2011,"03-04","Married Couple"
1,"Alabama",31563,3510,2011,"05","Married Couple"
1,"Alabama",211066,7460,2011,"06-11","Married Couple"
1,"Alabama",225500,7665,2011,"12-17","Married Couple"
1,"Alabama",8403,1719,2011,"00-02","Single Parent (Dad)"
1,"Alabama",5396,1647,2011,"03-04","Single Parent (Dad)"
1,"Alabama",3060,1250,2011,"05","Single Parent (Dad)"
1,"Alabama",16421,2996,2011,"06-11","Single Parent (Dad)"
1,"Alabama",20246,2815,2011,"12-17","Single Parent (Dad)"
1,"Alabama",39448,3523,2011,"00-02","Single Parent (Mom)"
1,"Alabama",31809,3053,2011,"03-04","Single Parent (Mom)"
1,"Alabama",15894,2703,2011,"05","Single Parent (Mom)"
1,"Alabama",97112,5262,2011,"06-11","Single Parent (Mom)"
1,"Alabama",99130,5501,2011,"12-17","Single Parent (Mom)"
1,"Alabama",84679,4424,2013,"00-02","Married Couple"
1,"Alabama",63201,3840,2013,"03-04","Married Couple"
1,"Alabama",33496,2852,2013,"05","Married Couple"
1,"Alabama",197771,7218,2013,"06-11","Married Couple"
1,"Alabama",215532,7397,2013,"12-17","Married Couple"
1,"Alabama",8408,1721,2013,"00-02","Single Parent (Dad)"
1,"Alabama",5878,1491,2013,"03-04","Single Parent (Dad)"
1,"Alabama",2300,887,2013,"05","Single Parent (Dad)"
1,"Alabama",20187,3762,2013,"06-11","Single Parent (Dad)"
1,"Alabama",22546,3218,2013,"12-17","Single Parent (Dad)"
1,"Alabama",39300,3481,2013,"00-02","Single Parent (Mom)"
1,"Alabama",33947,3538,2013,"03-04","Single Parent (Mom)"
1,"Alabama",16500,2657,2013,"05","Single Parent (Mom)"
1,"Alabama",97154,5353,2013,"06-11","Single Parent (Mom)"
1,"Alabama",103456,6499,2013,"12-17","Single Parent (Mom)"
1,"Alabama",91875,3665,2015,"00-02","Married Couple"
1,"Alabama",64551,3668,2015,"03-04","Married Couple"
1,"Alabama",31325,3012,2015,"05","Married Couple"
1,"Alabama",206515,7547,2015,"06-11","Married Couple"
1,"Alabama",211643,6771,2015,"12-17","Married Couple"
1,"Alabama",9902,2076,2015,"00-02","Single Parent (Dad)"
1,"Alabama",6091,1561,2015,"03-04","Single Parent (Dad)"
1,"Alabama",3423,942,2015,"05","Single Parent (Dad)"
1,"Alabama",16439,2745,2015,"06-11","Single Parent (Dad)"
1,"Alabama",17970,3030,2015,"12-17","Single Parent (Dad)"
1,"Alabama",38341,3087,2015,"00-02","Single Parent (Mom)"
1,"Alabama",27869,3177,2015,"03-04","Single Parent (Mom)"
1,"Alabama",16195,2524,2015,"05","Single Parent (Mom)"
1,"Alabama",98988,5383,2015,"06-11","Single Parent (Mom)"
1,"Alabama",99983,6320,2015,"12-17","Single Parent (Mom)"
1,"Alabama",90514,4128,2017,"00-02","Married Couple"
1,"Alabama",66178,4040,2017,"03-04","Married Couple"
1,"Alabama",29786,3232,2017,"05","Married Couple"
1,"Alabama",208755,7471,2017,"06-11","Married Couple"
1,"Alabama",210661,7815,2017,"12-17","Married Couple"
