"st_fips","state","variable","estimate","moe","year","sex","marital_status","age"
"01","Alabama","B12002_004",100363,1852,2011,"M","Never Married","15-17"
"01","Alabama","B12002_005",72311,3059,2011,"M","Never Married","18-19"
"01","Alabama","B12002_006",150286,3687,2011,"M","Never Married","20-24"
"01","Alabama","B12002_007",87095,4330,2011,"M","Never Married","25-29"
"01","Alabama","B12002_008",44776,3178,2011,"M","Never Married","30-34"
"01","Alabama","B12002_009",36188,3163,2011,"M","Never Married","35-39"
"01","Alabama","B12002_010",28746,3227,2011,"M","Never Married","40-44"
"01","Alabama","B12002_011",24956,2342,2011,"M","Never Married","45-49"
"01","Alabama","B12002_012",19622,2594,2011,"M","Never Married","50-54"
"01","Alabama","B12002_013",13723,1566,2011,"M","Never Married","55-59"
"01","Alabama","B12002_014",9852,1539,2011,"M","Never Married","60-64"
"01","Alabama","B12002_015",6049,1042,2011,"M","Never Married","65-74"
"01","Alabama","B12002_016",1479,549,2011,"M","Never Married","75-84"
"01","Alabama","B12002_017",684,321,2011,"M","Never Married","85+"
"01","Alabama","B12002_020",0,190,2011,"M","Married","15-17"
"01","Alabama","B12002_021",260,252,2011,"M","Married","18-19"
"01","Alabama","B12002_022",14718,1977,2011,"M","Married","20-24"
"01","Alabama","B12002_023",51396,3329,2011,"M","Married","25-29"
"01","Alabama","B12002_024",75789,3748,2011,"M","Married","30-34"
"01","Alabama","B12002_025",80801,4362,2011,"M","Married","35-39"
"01","Alabama","B12002_026",88784,4939,2011,"M","Married","40-44"
"01","Alabama","B12002_027",99038,3997,2011,"M","Married","45-49"
"01","Alabama","B12002_028",103639,4555,2011,"M","Married","50-54"
"01","Alabama","B12002_029",98033,3764,2011,"M","Married","55-59"
"01","Alabama","B12002_030",96703,3918,2011,"M","Married","60-64"
"01","Alabama","B12002_031",131843,2758,2011,"M","Married","65-74"
"01","Alabama","B12002_032",58755,2355,2011,"M","Married","75-84"
"01","Alabama","B12002_033",11783,1566,2011,"M","Married","85+"
"01","Alabama","B12002_036",56,78,2011,"M","Separated","15-17"
"01","Alabama","B12002_037",0,190,2011,"M","Separated","18-19"
"01","Alabama","B12002_038",1787,729,2011,"M","Separated","20-24"
"01","Alabama","B12002_039",3916,1346,2011,"M","Separated","25-29"
"01","Alabama","B12002_040",3781,1183,2011,"M","Separated","30-34"
"01","Alabama","B12002_041",3718,1034,2011,"M","Separated","35-39"
"01","Alabama","B12002_042",5182,1297,2011,"M","Separated","40-44"
"01","Alabama","B12002_043",6488,1326,2011,"M","Separated","45-49"
"01","Alabama","B12002_044",4459,1022,2011,"M","Separated","50-54"
"01","Alabama","B12002_045",4988,1268,2011,"M","Separated","55-59"
"01","Alabama","B12002_046",2545,729,2011,"M","Separated","60-64"
"01","Alabama","B12002_047",2890,737,2011,"M","Separated","65-74"
"01","Alabama","B12002_048",449,310,2011,"M","Separated","75-84"
"01","Alabama","B12002_049",224,205,2011,"M","Separated","85+"
"01","Alabama","B12002_066",11,20,2011,"M","Widowed","15-17"
"01","Alabama","B12002_067",0,190,2011,"M","Widowed","18-19"
"01","Alabama","B12002_068",228,386,2011,"M","Widowed","20-24"
"01","Alabama","B12002_069",125,113,2011,"M","Widowed","25-29"
"01","Alabama","B12002_070",474,391,2011,"M","Widowed","30-34"
"01","Alabama","B12002_071",318,211,2011,"M","Widowed","35-39"
"01","Alabama","B12002_072",771,538,2011,"M","Widowed","40-44"
"01","Alabama","B12002_073",1598,759,2011,"M","Widowed","45-49"
"01","Alabama","B12002_074",3183,934,2011,"M","Widowed","50-54"
"01","Alabama","B12002_075",4362,998,2011,"M","Widowed","55-59"
"01","Alabama","B12002_076",5090,962,2011,"M","Widowed","60-64"
"01","Alabama","B12002_077",10609,1499,2011,"M","Widowed","65-74"
"01","Alabama","B12002_078",15466,1886,2011,"M","Widowed","75-84"
"01","Alabama","B12002_079",10859,1607,2011,"M","Widowed","85+"
"01","Alabama","B12002_081",194,189,2011,"M","Divorced","15-17"
"01","Alabama","B12002_082",37,85,2011,"M","Divorced","18-19"
"01","Alabama","B12002_083",1882,805,2011,"M","Divorced","20-24"
"01","Alabama","B12002_084",6985,1401,2011,"M","Divorced","25-29"
"01","Alabama","B12002_085",16075,2466,2011,"M","Divorced","30-34"
"01","Alabama","B12002_086",15689,1956,2011,"M","Divorced","35-39"
"01","Alabama","B12002_087",27725,3023,2011,"M","Divorced","40-44"
"01","Alabama","B12002_088",30351,2626,2011,"M","Divorced","45-49"
"01","Alabama","B12002_089",31670,2781,2011,"M","Divorced","50-54"
"01","Alabama","B12002_090",27722,2681,2011,"M","Divorced","55-59"
"01","Alabama","B12002_091",24236,2257,2011,"M","Divorced","60-64"
"01","Alabama","B12002_092",19714,2027,2011,"M","Divorced","65-74"
"01","Alabama","B12002_093",6676,1080,2011,"M","Divorced","75-84"
"01","Alabama","B12002_094",823,352,2011,"M","Divorced","85+"
"01","Alabama","B12002_097",94971,2363,2011,"F","Never Married","15-17"
"01","Alabama","B12002_098",67148,2533,2011,"F","Never Married","18-19"
"01","Alabama","B12002_099",134784,3552,2011,"F","Never Married","20-24"
"01","Alabama","B12002_100",71081,3631,2011,"F","Never Married","25-29"
"01","Alabama","B12002_101",40841,3075,2011,"F","Never Married","30-34"
"01","Alabama","B12002_102",29409,2742,2011,"F","Never Married","35-39"
"01","Alabama","B12002_103",21545,2011,2011,"F","Never Married","40-44"
